Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-09-08T22:59:59.875Z,6181.744207,6400.3353,6479.20264,6120.293704
BTC,2018-09-09T22:59:59.484Z,6253.937201,6183.97778,6447.313782,6144.924046
BTC,2018-09-10T23:00:00.701Z,6275.083132,6253.935863,6379.81011,6226.244827
BTC,2018-09-11T23:00:00.185Z,6275.669588,6275.086286,6278.477001,6270.784163
BTC,2018-09-12T23:00:00.368Z,6277.494409,6275.667962,6278.128034,6270.935037
BTC,2018-09-13T22:59:59.634Z,6283.1842,6277.232888,6284.247704,6277.230431
BTC,2018-09-14T23:00:00.101Z,6285.982466,6283.1845,6287.36465,6279.938808
BTC,2018-09-15T23:00:00.546Z,6280.310107,6284.486393,6286.252578,6279.348037
BTC,2018-09-16T22:59:59.921Z,6281.409356,6280.041314,6282.095007,6277.600747
BTC,2018-09-17T23:00:00.336Z,6273.220083,6281.409355,6282.800877,6271.079572
BTC,2018-09-18T23:00:00.667Z,6278.595486,6273.220083,6280.962297,6271.894453
BTC,2018-09-19T22:59:59.702Z,6282.610727,6277.484108,6291.6152,6265.094017
BTC,2018-09-21T03:59:59.161Z,6288.07017,6283.119124,6288.68645,6276.09445
BTC,2018-09-22T03:59:59.970Z,6317.699685,6288.070074,6327.366866,6286.82408
BTC,2018-09-23T03:59:59.875Z,6293.836421,6317.699923,6319.325727,6292.470693
BTC,2018-09-24T03:59:59.865Z,6289.621327,6293.836421,6294.346274,6287.252102
BTC,2018-09-25T03:59:59.840Z,6466.994564,6289.620676,6662.423134,6286.529049
BTC,2018-09-26T03:59:59.603Z,6391.385981,6466.994518,6480.688089,6331.802231
BTC,2018-09-27T03:59:59.615Z,6509.776621,6391.385985,6559.484428,6389.429599
BTC,2018-09-28T03:59:59.269Z,6698.416047,6509.777014,6737.943844,6435.757875
BTC,2018-09-29T03:59:59.104Z,6502.688151,6698.416756,6799.930721,6487.953569
BTC,2018-09-30T03:59:59.833Z,6576.61432,6502.686952,6633.760949,6468.403572
BTC,2018-10-01T03:59:59.835Z,6647.387947,6576.616083,6664.394229,6537.792079
BTC,2018-10-02T03:59:59.421Z,6603.754342,6647.387803,6659.79686,6510.647196
BTC,2018-10-02T23:00:00.069Z,6576.354229,6539.322738,6585.475311,6532.148927
BTC,2018-10-03T22:59:59.276Z,6481.24577,6577.997152,6578.001542,6433.655985
BTC,2018-10-04T22:59:59.746Z,6594.935786,6506.454452,6642.005362,6501.934563
BTC,2018-10-05T23:00:00.091Z,6630.575297,6594.935786,6680.775154,6554.811033
BTC,2018-10-06T22:59:59.533Z,6595.260326,6634.134241,6644.564476,6571.472662
BTC,2018-10-07T23:00:00.583Z,6591.686318,6595.260368,6637.223291,6547.187842
BTC,2018-10-08T22:59:59.981Z,6662.8685,6614.103706,6696.495814,6591.206968
BTC,2018-10-09T22:59:59.484Z,6663.021071,6662.868499,6676.230859,6601.479356
BTC,2018-10-10T23:00:00.733Z,6619.495845,6663.020979,6663.020979,6546.963287
BTC,2018-10-11T23:00:00.062Z,6285.859203,6628.470053,6628.582997,6221.48545
BTC,2018-10-12T23:00:00.204Z,6309.198921,6285.506332,6350.784169,6207.718289
BTC,2018-10-13T23:00:00.539Z,6331.131154,6309.19844,6336.091101,6271.48444
BTC,2018-10-14T22:59:59.676Z,6361.417016,6329.97705,6408.601641,6319.713209
BTC,2018-10-15T22:59:59.958Z,6721.587503,6341.380722,7586.524634,6306.184686
BTC,2018-10-16T23:00:00.088Z,6724.833078,6723.097511,6897.033441,6679.922098
BTC,2018-10-17T23:00:00.377Z,6444.74701,6724.833124,6802.158612,6432.047212
BTC,2018-10-18T22:59:59.871Z,6374.648863,6450.064663,6486.474922,6335.173505
BTC,2018-10-19T23:00:00.340Z,6372.686817,6374.648863,6407.227988,6339.265011
BTC,2018-10-20T22:59:59.794Z,6407.479085,6360.83549,6438.790347,6342.061455
